FR,,,,,EN,,,,ES,,,,DE,,,,IT,,,
,Changer  la rotule de direction,,3,,Changing the tie rod end,,3,,Cambiar las rótulas de dirección,,3,,Das Spurstangenendstück wechseln,,3,,Cambiare la testina dello sterzo,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Remettre en place le véhicule,,4,,Putting the vehicle back in place,,4,,Volver a colocar el vehículo,,4,,Das Fahrzeug zurückstellen,,4,,Rimettere a posto il veicolo,,5,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer les amortisseurs et les coupelles d'amortisseurs avant,,,27,Changing the front shock absorbers and suspension strut support bearings,,,27,Cambiar los amortiguadores y rodamientos soporte amortiguador delanteros,,,27,Die vorderen Stoßdämpfer und Federbeinstützlager wechseln,,,27,Cambiare gli ammortizzatori anteriori e le coppette di copertura,,,27
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Retirer l'amortisseur,,2,,Removing the shock absorber,,2,,Retirar el amortiguador,,2,,Den Stoßdämpfer entfernen,,2,,Togliere gli ammortizzatori,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer l'amortisseur et la coupelle ,,3,,Changing the shock absorbers and the suspension strut support bearing,,3,,Cambiar el amortiguador y el rodamiento soporte,,3,,Den Stoßdämpfer und das Federbeinstützlager wechseln,,3,,Cambiare gli ammortizzatori e le coppette di copertura,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Remettre en place l'amortisseur ,,4,,Putting the shock absorber back in place,,4,,Volver a colocar el amortiguador,,4,,Den Stoßdämpfer wieder anbringen,,4,,Rimettere a posto gli ammortizzatori,,4,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Remettre en place le véhicule,,5,,Putting the vehicle back in place,,5,,Volver a colocar el vehículo,,5,,Das Fahrzeug zurückstellen,,5,,Rimettere a posto il veicolo,,5,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer les amortisseurs arrière,,,28,Changing the rear shock absorbers,,,28,Cambiar los amortiguadores de detrás,,,28,Die vorderen Stoßdämpfer wechseln,,,28,Cambiare gli ammortizzatori posteriori,,,28
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Retirer l'amortisseur,,2,,Removing the shock absorber,,2,,Retirar el amortiguador,,2,,Den Stoßdämpfer entfernen,,2,,Togliere gli ammortizzatori,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer l'amortisseur,,3,,Changing the shock absorber,,3,,Cambiar el amortiguador,,3,,Den Stoßdämpfer wechseln,,3,,Cambiare gli ammortizzatori,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Remettre en place le véhicule,,4,,Putting the vehicle back in place,,4,,Volver a colocar el vehículo,,4,,Das Fahrzeug zurückstellen,,4,,Rimettere a posto il veicolo,,4,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer la courroie d'accessoire et galets,,,29,Changing the drive belt and the pulleys,,,29,Cambiar la correa trapecial poli V y las poleas,,,29,Den Antriebsriemen und die Antriebsrollen wechseln,,,29,Cambiare la cinghia servizi e le puleggie,,,29
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Retirer la courroie d'acceessoire,,2,,Removing the drive belt,,2,,Retirar la correa trapecial poli V,,2,,Den Antriebsriemen enfernen,,2,,Togliere la cinghia servizi,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Mettre en place la nouvelle courroie d'accessoire,,3,,Installing the new drive belt,,3,,Colocarla nueva correa trapecial poli V,,3,,Den neuen Antriebsriemen einbauen,,3,,Inserire la nuova cinghia servizi,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer les freins à tambours,,,31,Changing the brake drums,,,31,,,,31,Die Trommelbremsen wechseln,,,31,Cambiare i freni a tamburo,,,31
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Retirer l'ancien kit de frein ,,2,,,,2,,,,2,,Den alten Bremssatz entfernen,,2,,Togliere il vecchio kit freni,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Mettre en place le nouveau kit de frein,,3,,,,3,,,,3,,Den neuen Bremssatz einbauen,,3,,Montare il nuovo kit freni,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Remettre en place le véhicule,,4,,Putting the vehicle back in place,,4,,Volver a colocar el vehículo,,4,,Das Fahrzeug zurückstellen,,4,,Rimettere a posto il veicolo,,4,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer la barre stabilisatrice,,,32,Changing the stabiliser bar,,,32,Cambiar la barra estabilizadora,,,32,Die Stabilisatorstange wechseln,,,32,Cambiare la barra stabilizzatrice,,,32
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Retirer la barre stabilisatrice,,2,,Removing the stabiliser bar,,2,,Retirarla barra estabilizadora,,2,,Die Stabilisatorstange enfernen,,2,,Togliere la barra stabilizzatrice,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Remettre en place la barre stabilisatrice,,3,,Putting the stabiliser bar back in place,,3,,Volver a colocar  la barra estabilizadora,,3,,Die Stabilisatorstange einbauen,,3,,Rimontare la barra stabilizzatrice,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Remettre en place le véhicule,,4,,Putting the vehicle back in place,,4,,Volver a colocar el vehículo,,4,,Das Fahrzeug zurückstellen,,4,,Rimettere a posto il veicolo,,5,
